Course Name,Category,Level,Duration,Eligibility,Future Scope
B.Tech Computer Science Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Computer Science Engineering Engineer / Related Industry Roles
B.Tech Information Technology,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Information Technology Engineer / Related Industry Roles
B.Tech Artificial Intelligence,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Artificial Intelligence Engineer / Related Industry Roles
B.Tech Artificial Intelligence & Machine Learning,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Artificial Intelligence & Machine Learning Engineer / Related Industry Roles
B.Tech Machine Learning,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Machine Learning Engineer / Related Industry Roles
B.Tech Data Science,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Data Science Engineer / Related Industry Roles
B.Tech Cyber Security,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Cyber Security Engineer / Related Industry Roles
B.Tech Software Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Software Engineering Engineer / Related Industry Roles
B.Tech Cloud Computing,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Cloud Computing Engineer / Related Industry Roles
B.Tech Internet of Things,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Internet of Things Engineer / Related Industry Roles
B.Tech Electronics and Communication Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Electronics and Communication Engineering Engineer / Related Industry Roles
B.Tech Electrical Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Electrical Engineering Engineer / Related Industry Roles
B.Tech Electrical and Electronics Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Electrical and Electronics Engineering Engineer / Related Industry Roles
B.Tech Mechanical Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Mechanical Engineering Engineer / Related Industry Roles
B.Tech Civil Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Civil Engineering Engineer / Related Industry Roles
B.Tech Chemical Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Chemical Engineering Engineer / Related Industry Roles
B.Tech Aerospace Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Aerospace Engineering Engineer / Related Industry Roles
B.Tech Aeronautical Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Aeronautical Engineering Engineer / Related Industry Roles
B.Tech Automobile Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Automobile Engineering Engineer / Related Industry Roles
B.Tech Biomedical Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Biomedical Engineering Engineer / Related Industry Roles
B.Tech Biotechnology Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Biotechnology Engineering Engineer / Related Industry Roles
B.Tech Environmental Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Environmental Engineering Engineer / Related Industry Roles
B.Tech Industrial Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Industrial Engineering Engineer / Related Industry Roles
B.Tech Production Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Production Engineering Engineer / Related Industry Roles
B.Tech Manufacturing Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Manufacturing Engineering Engineer / Related Industry Roles
B.Tech Mechatronics Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Mechatronics Engineering Engineer / Related Industry Roles
B.Tech Robotics Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Robotics Engineering Engineer / Related Industry Roles
B.Tech Petroleum Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Petroleum Engineering Engineer / Related Industry Roles
B.Tech Mining Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Mining Engineering Engineer / Related Industry Roles
B.Tech Marine Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Marine Engineering Engineer / Related Industry Roles
B.Tech Naval Architecture,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Naval Architecture Engineer / Related Industry Roles
B.Tech Agricultural Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Agricultural Engineering Engineer / Related Industry Roles
B.Tech Food Technology Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Food Technology Engineering Engineer / Related Industry Roles
B.Tech Textile Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Textile Engineering Engineer / Related Industry Roles
B.Tech Metallurgical Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Metallurgical Engineering Engineer / Related Industry Roles
B.Tech Materials Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Materials Engineering Engineer / Related Industry Roles
B.Tech Structural Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Structural Engineering Engineer / Related Industry Roles
B.Tech Geotechnical Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Geotechnical Engineering Engineer / Related Industry Roles
B.Tech Transportation Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Transportation Engineering Engineer / Related Industry Roles
B.Tech Construction Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Construction Engineering Engineer / Related Industry Roles
B.Tech Power Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Power Engineering Engineer / Related Industry Roles
B.Tech Instrumentation Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Instrumentation Engineering Engineer / Related Industry Roles
B.Tech Control Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Control Systems Engineering Engineer / Related Industry Roles
B.Tech Telecommunication Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Telecommunication Engineering Engineer / Related Industry Roles
B.Tech Embedded Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Embedded Systems Engineering Engineer / Related Industry Roles
B.Tech Nanotechnology Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Nanotechnology Engineering Engineer / Related Industry Roles
B.Tech Energy Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Energy Engineering Engineer / Related Industry Roles
B.Tech Renewable Energy Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Renewable Energy Engineering Engineer / Related Industry Roles
B.Tech Nuclear Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Nuclear Engineering Engineer / Related Industry Roles
B.Tech Space Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Space Engineering Engineer / Related Industry Roles
B.Tech Photonics Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Photonics Engineering Engineer / Related Industry Roles
B.Tech Optical Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Optical Engineering Engineer / Related Industry Roles
B.Tech Systems Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Systems Engineering Engineer / Related Industry Roles
B.Tech Automation Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Automation Engineering Engineer / Related Industry Roles
B.Tech Tool Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Tool Engineering Engineer / Related Industry Roles
B.Tech Printing Technology Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Printing Technology Engineering Engineer / Related Industry Roles
B.Tech Ceramic Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Ceramic Engineering Engineer / Related Industry Roles
B.Tech Polymer Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Polymer Engineering Engineer / Related Industry Roles
B.Tech Leather Technology Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Leather Technology Engineering Engineer / Related Industry Roles
B.Tech Safety Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Safety Engineering Engineer / Related Industry Roles
B.Tech Fire Engineering,Engineering,12th,4 Years,10+2 with PCM + Engineering Entrance Exam (JEE/State Exams),Fire Engineering Engineer / Related Industry Roles
